HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
29812,29765.06055,1.219845772,-0.367509961,8.627506256,0.067148544,0.006128637,-0.00319755,-7.924683094,1.458274961,4.083169937,29.79999924,99156,215.9960632,169.5732574,0,0,0,0
29852,29805.11206,1.331176162,-0.349553436,8.646659851,0.063684531,0.00319755,-0.009326187,-7.73302412,1.499940038,4.04150486,29.79999924,99156,215.9113617,169.0229034,0,0,0,0
29892,29845.62134,1.259350061,-0.312443316,8.567650795,0.067415006,0.003464012,-0.008260337,-7.874684811,1.474941015,4.016506195,29.79999924,99156,215.9113617,169.3913269,0,0,0,0
29932,29884.93481,1.291671872,-0.354341865,8.696937561,0.061286367,0.003464012,-0.005329249,-7.924683094,1.349946022,4.04150486,29.79999924,99156,215.9113617,170.3326416,0,0,0,0
29972,29925.64478,1.307234168,-0.420182407,8.675390244,0.062885143,0.006661562,-0.009859112,-7.891351223,1.416610003,4.016506195,29.79999924,99156,215.8266449,169.8229828,0,0,0,0
30012,29964.06152,1.290474772,-0.354341865,8.623914719,0.065016843,0.003730475,-0.007194487,-7.891351223,1.458274961,4.124835014,29.79999924,99156,215.8266449,169.5301819,0,0,0,0
30052,30005.74756,1.307234168,-0.399831682,8.620323181,0.063950993,0.005595712,-0.007460949,-7.849686146,1.474941015,4.124835014,29.79999924,99156,215.9960632,169.3583069,0,0,0,0
30092,30044.56763,1.291671872,-0.353144765,8.639476776,0.063418068,0.005595712,-0.007993874,-7.83302021,1.541604996,4.04150486,29.79999924,99156,215.7424622,168.8659973,0,0,0,0
30132,30084.17603,1.270123959,-0.403422982,8.601169586,0.064483918,0.0063951,-0.006928025,-7.849686146,1.474941015,3.999840021,29.79999924,99156,215.5730438,169.3583069,0,0,0,0
30172,30125.79932,1.319205165,-0.312443316,8.65144825,0.06981317,0.007993874,-0.006928025,-7.891351223,1.433276057,3.999840021,29.79999924,99156,216.1654816,169.7058105,0,0,0,0
30212,30165.41431,1.319205165,-0.350750536,8.58680439,0.061019909,0.002664625,-0.007194487,-7.758022785,1.566604018,4.166500092,29.79999924,99156,215.9113617,168.5835876,0,0,0,0
